year,school,winpct
2014,Boston College,0.5384615384615384
2014,Clemson,0.7692307692307693
2014,Duke,0.6923076923076923
2014,Florida State,0.9285714285714286
2014,Georgia Tech,0.7857142857142857
2014,Louisville,0.6923076923076923
2014,Miami,0.46153846153846156
2014,NC State,0.6153846153846154
2014,North Carolina,0.46153846153846156
2014,Pittsburgh,0.46153846153846156
2014,Syracuse,0.25
2014,Virginia,0.4166666666666667
2014,Virginia Tech,0.5384615384615384
2014,Wake Forest,0.25
2014,Baylor,0.8461538461538461
2014,Iowa State,0.16666666666666666
2014,Kansas,0.25
2014,Kansas State,0.6923076923076923
2014,Oklahoma,0.6153846153846154
2014,Oklahoma State,0.5384615384615384
2014,TCU,0.9230769230769231
2014,Texas,0.46153846153846156
2014,Texas Tech,0.3333333333333333
2014,West Virginia,0.5384615384615384
2014,Illinois,0.46153846153846156
2014,Indiana,0.3333333333333333
2014,Iowa,0.5384615384615384
2014,Maryland,0.5384615384615384
2014,Michigan,0.4166666666666667
2014,Michigan State,0.8461538461538461
2014,Minnesota,0.6153846153846154
2014,Nebraska,0.6923076923076923
2014,Northwestern,0.4166666666666667
2014,Ohio State,0.9333333333333333
2014,Penn State,0.5384615384615384
2014,Purdue,0.25
2014,Rutgers,0.6153846153846154
2014,Wisconsin,0.7857142857142857
2014,Alabama,0.8571428571428571
2014,Arkansas,0.5384615384615384
2014,Auburn,0.6153846153846154
2014,Florida,0.5833333333333334
2014,Georgia,0.7692307692307693
2014,Kentucky,0.4166666666666667
2014,LSU,0.6153846153846154
2014,Mississippi State,0.7692307692307693
2014,Missouri,0.7857142857142857
2014,Ole Miss,0.6923076923076923
2014,South Carolina,0.5384615384615384
2014,Tennessee,0.5384615384615384
2014,Texas A&M,0.6153846153846154
2014,Vanderbilt,0.25
2014,Arizona,0.7142857142857143
2014,Arizona State,0.7692307692307693
2014,California,0.4166666666666667
2014,Colorado,0.16666666666666666
2014,Oregon,0.8666666666666667
2014,Oregon State,0.4166666666666667
2014,Stanford,0.6153846153846154
2014,UCLA,0.7692307692307693
2014,USC,0.6923076923076923
2014,Utah,0.6923076923076923
2014,Washington,0.5714285714285714
2014,Washington State,0.25
2014,Notre Dame,0.6153846153846154
2015,Boston College,0.25
2015,Clemson,0.9333333333333333
2015,Duke,0.6153846153846154
2015,Florida State,0.7692307692307693
2015,Georgia Tech,0.25
2015,Louisville,0.6153846153846154
2015,Miami,0.6153846153846154
2015,NC State,0.5384615384615384
2015,North Carolina,0.7857142857142857
2015,Pittsburgh,0.6153846153846154
2015,Syracuse,0.3333333333333333
2015,Virginia,0.3333333333333333
2015,Virginia Tech,0.5384615384615384
2015,Wake Forest,0.25
2015,Baylor,0.7692307692307693
2015,Iowa State,0.25
2015,Kansas,0
2015,Kansas State,0.46153846153846156
2015,Oklahoma,0.8461538461538461
2015,Oklahoma State,0.7692307692307693
2015,TCU,0.8461538461538461
2015,Texas,0.4166666666666667
2015,Texas Tech,0.5384615384615384
2015,West Virginia,0.6153846153846154
2015,Illinois,0.4166666666666667
2015,Indiana,0.46153846153846156
2015,Iowa,0.8571428571428571
2015,Maryland,0.25
2015,Michigan,0.7692307692307693
2015,Michigan State,0.8571428571428571
2015,Minnesota,0.46153846153846156
2015,Nebraska,0.46153846153846156
2015,Northwestern,0.7692307692307693
2015,Ohio State,0.9230769230769231
2015,Penn State,0.5384615384615384
2015,Purdue,0.16666666666666666
2015,Rutgers,0.3333333333333333
2015,Wisconsin,0.7692307692307693
2015,Alabama,0.9333333333333333
2015,Arkansas,0.6153846153846154
2015,Auburn,0.5384615384615384
2015,Florida,0.7142857142857143
2015,Georgia,0.7692307692307693
2015,Kentucky,0.4166666666666667
2015,LSU,0.75
2015,Mississippi State,0.6923076923076923
2015,Missouri,0.4166666666666667
2015,Ole Miss,0.7692307692307693
2015,South Carolina,0.25
2015,Tennessee,0.6923076923076923
2015,Texas A&M,0.6153846153846154
2015,Vanderbilt,0.3333333333333333
2015,Arizona,0.5384615384615384
2015,Arizona State,0.46153846153846156
2015,California,0.6153846153846154
2015,Colorado,0.3076923076923077
2015,Oregon,0.6923076923076923
2015,Oregon State,0.16666666666666666
2015,Stanford,0.8571428571428571
2015,UCLA,0.6153846153846154
2015,USC,0.5714285714285714
2015,Utah,0.7692307692307693
2015,Washington,0.5384615384615384
2015,Washington State,0.6923076923076923
2015,Notre Dame,0.7692307692307693
